StopID;DIVA;StopText;Municipality;MunicipalityID;Latitude;Longitude
8624;60201234;Siebenbürgerstraße;Wien;49000001;48.2328645;16.4466347
8625;60200927;Neukagran;Wien;49000001;48.2364905;16.4476588
8626;60200630;Kagraner Anger;Wien;49000001;48.2393445;16.4487547
8627;60200353;Freihofsiedlung;Wien;49000001;48.2421385;16.45021
8628;60200869;Mergenthalerplatz;Wien;49000001;48.2434486;16.4468144
8629;60201034;Portnergasse;Wien;49000001;48.2444118;16.4439667
8630;60200958;Aspernstraße, Oberdorfstraße;Wien;49000001;48.2202493;16.4815253
8631;60201646;Goldregengasse;Wien;49000001;48.2210094;16.4846514
8632;60201647;Pilotengasse;Wien;49000001;48.2205306;16.4882177
8633;60201648;Reglergasse;Wien;49000001;48.2234154;16.4894933
8634;60200060;An den alten Schanzen;Wien;49000001;48.2266411;16.4899964
8635;60201649;Kornblumenweg;Wien;49000001;48.2295315;16.4912001
8636;60200628;Hagedornweg;Wien;49000001;48.2327568;16.4926554
8637;60200487;Hausfeldstraße U;Wien;49000001;48.2336783;16.4871667
8638;60201649;Kornblumenweg;Wien;49000001;48.2303094;16.4858372
8640;60200060;An den alten Schanzen;Wien;49000001;48.2263718;16.4902749
8641;60201648;Reglergasse;Wien;49000001;48.2238582;16.4875889
8642;60201650;Aurikelweg;Wien;49000001;48.2210034;16.4862774
8643;60201746;Soldanellenweg;Wien;49000001;48.2201954;16.4885501
8644;60200455;Haberlandtgasse;Wien;49000001;48.218747;16.4901042
8645;60200530;Hirschstetten, Ort;Wien;49000001;48.234504;16.4671882
8646;60201640;Mühlau;Wien;49000001;48.209846;16.5034801
8647;60200290;Donaustadtbrücke U;Wien;49000001;48.2124919;16.4401309
8648;60200290;Donaustadtbrücke U;Wien;49000001;48.2121686;16.4398704
8649;60200477;Haschafeld;Wien;49000001;48.2249893;16.475282
8651;60200958;Aspernstraße, Oberdorfstraße;Wien;49000001;48.2196568;16.4810132
8652;60201631;Oberdorfstraße;Wien;49000001;48.2178013;16.4799352
8653;60201635;Heustadelgasse, Schule;Wien;49000001;48.2149401;16.4838429
8654;60201636;Hoechlegasse;Wien;49000001;48.213713;16.4889723
8655;60201637;Jägermaiszufahrt;Wien;49000001;48.2124021;16.4946137
8656;60201638;Heustadelgasse;Wien;49000001;48.2109115;16.497138
8657;60201639;Auspitzgasse;Wien;49000001;48.2091934;16.5001833
8658;60201640;Mühlau;Wien;49000001;48.2087445;16.5033004
8659;60201641;Leidlweg;Wien;49000001;48.2081398;16.50728
8660;60201642;Dumreichergasse;Wien;49000001;48.207134;16.510442
8661;60201401;Bambergergasse;Wien;49000001;48.2061402;16.5150953
8664;60200108;Duchekgasse;Wien;49000001;48.2097921;16.5160026
8673;60201401;Bambergergasse;Wien;49000001;48.206248;16.5150953
8674;60201642;Dumreichergasse;Wien;49000001;48.207134;16.5105768
8675;60201643;Arztgasse;Wien;49000001;48.208487;16.5105858
8676;60201644;Haengasse;Wien;49000001;48.209397;16.5066691
8677;60201639;Auspitzgasse;Wien;49000001;48.2103009;16.5002641
8678;60201638;Heustadelgasse;Wien;49000001;48.210714;16.4975782
8679;60201637;Jägermaiszufahrt;Wien;49000001;48.2122046;16.4957815
8680;60201636;Hoechlegasse;Wien;49000001;48.2136472;16.4895382
8681;60201635;Heustadelgasse, Schule;Wien;49000001;48.215006;16.4838699
8682;60200299;Aspernstraße U;Wien;49000001;48.2234453;16.4754257
8683;60200299;Aspernstraße U;Wien;49000001;48.2229904;16.4754257
8685;60200299;Aspernstraße U;Wien;49000001;48.2233555;16.4756682
8687;60200297;Eßling, Schule;Wien;49000001;48.2150239;16.5265668
8688;60200347;Franz-Pletersky-Weg;Wien;49000001;48.213282;16.4503178
8689;60200475;Harrachgasse;Wien;49000001;48.2222244;16.4253536
8691;60201663;Otto-Weber-Gasse;Wien;49000001;48.204883;16.4558694
8692;60201788;Aspern, Sportplatz;Wien;49000001;48.2135454;16.480618
8693;60201788;Aspern, Sportplatz;Wien;49000001;48.2137609;16.4807797
8694;60201004;Pfalzgasse;Wien;49000001;48.2402659;16.4915145
8695;60201773;Lackenjöchelgasse;Wien;49000001;48.2434726;16.4930057
8696;60200165;Breitenlee, Ort;Wien;49000001;48.250663;16.4974883
8697;60201814;Im Gestockert;Wien;49000001;48.2063318;16.511547
8698;60201814;Im Gestockert;Wien;49000001;48.206254;16.511547
8699;60201663;Otto-Weber-Gasse;Wien;49000001;48.2049668;16.4559323
8730;60200429;Lange Allee;Wien;49000001;48.2270779;16.4444428
8731;60200485;Deinleingasse;Wien;49000001;48.2217156;16.4437691
8732;60200640;Angelibad;Wien;49000001;48.2471636;16.4031383
8733;60201299;Stadlau < >;Wien;49000001;48.2184058;16.4484044
8734;60200640;Angelibad;Wien;49000001;48.2470739;16.4031023
8735;60200485;Deinleingasse;Wien;49000001;48.2218892;16.4441104
8736;60201291;Schreinerweg;Wien;49000001;48.227437;16.4468593
8750;60201160;Bhf. Meidling S U, Schedifkaplatz;Wien;49000001;48.1726988;16.3316414
8752;60200554;Am Hubertusdamm;Wien;49000001;48.2495205;16.391577
8753;60200554;Am Hubertusdamm;Wien;49000001;48.2505494;16.3919273
8754;60201668;Neue Donau U;Wien;49000001;48.2464697;16.3951972
8755;60200725;Kugelfanggasse;Wien;49000001;48.2461407;16.3985479
8756;60200611;Josef-Melichar-Gasse;Wien;49000001;48.2455245;16.401126
8757;60200364;Friedstraße;Wien;49000001;48.2448545;16.4049349
8758;60201447;Warhanekgasse;Wien;49000001;48.2441785;16.4079622
8759;60201485;Wildbadgasse;Wien;49000001;48.2445315;16.410208
8760;60201485;Wildbadgasse;Wien;49000001;48.2445853;16.4100733
8761;60201733;Donauturm;Wien;49000001;48.2419291;16.408591
8762;60201733;Donauturm;Wien;49000001;48.2419829;16.4089414
8763;60201732;Verbindungsweg;Wien;49000001;48.2413667;16.4033539
8764;60201732;Verbindungsweg;Wien;49000001;48.241271;16.4033629
8765;60201731;Donau-City-Nord;Wien;49000001;48.2354195;16.4080431
8766;60201731;Donau-City-Nord;Wien;49000001;48.2354674;16.408097
8767;60200031;Alte Donau U;Wien;49000001;48.2380282;16.4237726
8768;60200031;Alte Donau U;Wien;49000001;48.2379504;16.4236648
8769;60200185;Bundessportbad;Wien;49000001;48.2400744;16.4210237
8770;60200185;Bundessportbad;Wien;49000001;48.2399607;16.4209429
8771;60201329;Strandbad Alte Donau;Wien;49000001;48.2414146;16.4180683
8772;60201329;Strandbad Alte Donau;Wien;49000001;48.2413428;16.4179964
8773;60200078;ArbeiterInnenstrand;Wien;49000001;48.2432871;16.4141516
8774;60200078;ArbeiterInnenstrand;Wien;49000001;48.2432093;16.4140798
8775;60201447;Warhanekgasse;Wien;49000001;48.2448904;16.4085282
8776;60200364;Friedstraße;Wien;49000001;48.2458954;16.404908
8777;60200611;Josef-Melichar-Gasse;Wien;49000001;48.2464398;16.4014764
8778;60201147;Sandrockgasse;Wien;49000001;48.2468226;16.3989162
8779;60200366;Frömmlgasse;Wien;49000001;48.2564888;16.3925022
8780;60200366;Frömmlgasse;Wien;49000001;48.2560402;16.3923315
8781;60200334;Floridsdorf SU;Wien;49000001;48.2566862;16.4010452
8782;60200250;Dunantgasse;Wien;49000001;48.2603404;16.3887922
8783;60200119;Jedlesee, Bellgasse;Wien;49000001;48.2626548;16.3870494
8784;60200594;Jeneweingasse;Wien;49000001;48.2660754;16.3852798
8785;60200594;Jeneweingasse;Wien;49000001;48.26589;16.385145
8786;60200068;Anton-Bosch-Gasse;Wien;49000001;48.2695256;16.3873459
8787;60200068;Anton-Bosch-Gasse;Wien;49000001;48.2694539;16.387301
8788;60200797;Jedleseer Friedhof;Wien;49000001;48.2702431;16.3834562
8789;60200797;Jedleseer Friedhof;Wien;49000001;48.2701295;16.3835101
8790;60201544;Jedlesee, Überfuhrstraße;Wien;49000001;48.269418;16.3799528
8791;60201544;Jedlesee, Überfuhrstraße;Wien;49000001;48.2693223;16.3800067
8792;60200872;Meyerbeergasse;Wien;49000001;48.2724913;16.3781022
8793;60200872;Meyerbeergasse;Wien;49000001;48.2723717;16.3779854
8794;60201513;Zallingergasse;Wien;49000001;48.2747753;16.3754702
8795;60201513;Zallingergasse;Wien;49000001;48.2747275;16.3753624
8796;60201196;Voltelinistraße;Wien;49000001;48.2770831;16.3735478
8797;60201196;Voltelinistraße;Wien;49000001;48.2770532;16.3734759
8798;60201506;Schwarzlackenau;Wien;49000001;48.2779141;16.3698377
8799;60201506;Schwarzlackenau;Wien;49000001;48.2777586;16.3689394
8800;60201302;Segelzentrum Nord;Wien;49000001;48.2785896;16.368113
8801;60201302;Segelzentrum Nord;Wien;49000001;48.2785478;16.3680052
8802;60200810;Lohnergasse;Wien;49000001;48.2821048;16.369173
8803;60200810;Lohnergasse;Wien;49000001;48.2820629;16.3690292
8804;60200537;Hoffherr-Schrantz-Gasse;Wien;49000001;48.2830373;16.3716523
8805;60200537;Hofherr-Schrantz-Gasse;Wien;49000001;48.2829297;16.3717062
8806;60201429;Vohburggasse;Wien;49000001;48.2836889;16.3742664
8807;60201429;Vohburggasse;Wien;49000001;48.2836112;16.3743203
8808;60201338;Strohbogasse;Wien;49000001;48.2842628;16.3765122
8810;60201567;Tonfabrikgasse;Wien;49000001;48.2851415;16.3790994
8811;60201567;Tonfabrikgasse;Wien;49000001;48.2852371;16.3790185
8812;60201333;Bhf. Strebersdorf S;Wien;49000001;48.2861457;16.3807073
